变量类型	变量
分类变量	ATBR13C
分类变量	ATBR13D
分类变量	ATBR13E
分类变量	ATBR14
分类变量	ATBR15
分类变量	ATBR16
分类变量	ATBR17A
分类变量	ATBR17B
分类变量	ATBR17C
分类变量	ATBR18A
分类变量	ATBR18B
分类变量	ATBR18C
分类变量	ATBR18D
分类变量	ATBR18E
分类变量	ATBR19
分类变量	ATDGEAS
分类变量	ATDGSOS
分类变量	ATDGTJS
分类变量	ATDGSLI


数值变量	ASDAGE
数值变量	ASRREA01
数值变量	ASRREA02
数值变量	ASRREA03
数值变量	ASRREA04
数值变量	ASRREA05
数值变量	ASRLIT01
数值变量	ASRLIT02
数值变量	ASRLIT03
数值变量	ASRLIT04
数值变量	ASRLIT05
数值变量	ASRINF01
数值变量	ASRINF02
数值变量	ASRINF03
数值变量	ASRINF04
数值变量	ASRINF05
数值变量	ASRIIE01
数值变量	ASRIIE02
数值变量	ASRIIE03
数值变量	ASRIIE04
数值变量	ASRIIE05
数值变量	ASRRSI01
数值变量	ASRRSI02
数值变量	ASRRSI03
数值变量	ASRRSI04
数值变量	ASRRSI05
数值变量	ASBGSEC
数值变量	ASBGSSB
数值变量	ASBGSB
数值变量	ASBGERL
数值变量	ASBGDRL
数值变量	ASBGSLR
数值变量	ASBGSCR
数值变量	ASBGHRL
数值变量	ASBHSES
数值变量	ASBHELA
数值变量	ASBHENA
数值变量	ASBHELN
数值变量	ASBHELT
数值变量	ASBHPCS
数值变量	ASBHPLR
数值变量	ACBG06A
数值变量	ACBG06B
数值变量	ACBG09
数值变量	ACBG15
数值变量	ACBG16
数值变量	ACBGRRS
数值变量	ACBGEAS
数值变量	ACBGDAS
数值变量	ACDGTIHY
数值变量	ATBG01
数值变量	ATBR01A
数值变量	ATBR01B
数值变量	ATBR02A
数值变量	ATBR02B
数值变量	ATBR04
数值变量	ATBR05
数值变量	ATBGEAS
数值变量	ATBGSOS
数值变量	ATBGTJS
数值变量	ATBGSLI
数值变量	ATDGLIHY
数值变量	ATDGRIHY
