ATBR01B,ATBR02B,ATBGEAS,ATBGSOS,ATBGTJS,ATBGSLI,ATDGRIHY,cluster,cluster_pred
35.0,5.0,10.96267,11.59162,13.241339999999996,11.57611,52.26667,5,4
34.0,5.0,8.24023,11.59162,10.39017,8.54995,52.26667,5,4
25.0,7.0,8.83963,10.40627,9.82876,9.68037,234.0,1,1
40.0,4.0,9.13986,8.99685,9.27422,10.90415,234.0,1,1
35.0,4.0,9.13986,8.99685,9.82876,10.90415,234.0,1,1
17.0,1.0,7.0062,10.96579,8.0184,10.27928,52.26667,0,0
18.0,2.0,7.63433,10.96579,9.27422,11.57611,19.6,0,0
26.0,2.0,9.44107,11.59162,10.39017,7.52318,35.0,3,3
27.0,3.0000000000000004,8.24023,13.6815,8.67953,8.54995,46.66667,3,3
28.0,10.0,10.35049,13.6815,10.39017,10.27928,89.06667,2,2
29.000000000000004,0.0,10.35049,13.6815,9.82876,10.27928,44.53333,6,5
29.000000000000004,0.0,9.13986,13.6815,11.82034,15.07968,89.06667,6,5
29.000000000000004,4.0,10.96267,12.35702,8.0184,13.321370000000002,111.33333,6,5
42.0,0.0,11.58744,13.6815,9.82876,12.34223,104.0,6,5
42.0,0.0,11.58744,13.6815,9.82876,12.34223,104.0,6,5
42.0,0.0,11.58744,13.6815,13.241339999999996,10.90415,104.0,6,5
42.0,0.0,11.58744,13.6815,13.241339999999996,10.90415,104.0,6,5
2.0,0.0,14.923600000000002,13.6815,13.241339999999996,13.321370000000002,104.0,6,5
12.000000000000002,6.000000000000001,10.65566,11.59162,8.67953,9.68037,26.0,0,0
10.0,6.000000000000001,7.32427,9.42597,8.67953,8.54995,52.0,0,0
13.0,4.0,10.04647,9.42597,10.39017,9.1022,39.0,0,0
28.0,5.0,10.96267,10.40627,11.82034,10.90415,59.33333,5,4
27.0,10.0,8.83963,9.42597,13.241339999999996,10.90415,118.66667,2,2
29.000000000000004,7.0,8.24023,9.89419,7.334360000000001,9.68037,52.0,3,3
29.000000000000004,5.0,10.04647,11.59162,8.67953,10.90415,156.0,1,1
29.000000000000004,6.000000000000001,8.83963,7.87142,3.83998,9.68037,65.0,3,3
28.0,4.0,10.65566,10.40627,11.82034,9.68037,65.0,5,4
29.000000000000004,3.0000000000000004,7.63433,10.40627,8.67953,9.1022,78.0,3,3
28.0,6.000000000000001,10.04647,9.42597,9.82876,9.1022,26.0,2,2
29.000000000000004,5.0,9.44107,9.89419,9.27422,8.54995,52.0,3,3
29.000000000000004,0.0,11.58744,13.6815,13.241339999999996,12.34223,208.0,1,1
28.0,3.0000000000000004,8.24023,8.59932,13.241339999999996,10.27928,156.0,1,1
28.0,0.0,9.13986,8.59932,11.01744,12.34223,52.0,3,3
35.0,2.0,8.54003,10.96579,11.82034,9.68037,58.5,2,2
33.0,2.0,9.7433,10.40627,7.334360000000001,8.54995,58.5,3,3
30.0,0.0,8.24023,10.40627,6.01233,10.27928,58.5,3,3
24.000000000000004,4.0,9.7433,10.40627,8.67953,10.27928,113.75,0,0
35.0,5.0,11.90844,13.6815,13.241339999999996,11.57611,182.0,5,4
33.0,2.0,11.27266,12.35702,13.241339999999996,11.57611,156.0,6,5
32.0,4.0,12.95333,13.6815,11.01744,11.57611,78.0,5,4
33.0,4.0,8.83963,9.89419,13.241339999999996,9.68037,116.66667,2,2
33.0,7.0,10.96267,10.40627,8.67953,9.1022,23.33333,5,4
31.0,3.0000000000000004,7.0062,7.87142,13.241339999999996,11.57611,156.0,3,1
25.0,5.0,8.24023,7.52665,3.83998,9.1022,166.66667,3,3
29.000000000000004,4.0,9.13986,13.6815,8.67953,9.1022,37.03704,5,4
27.0,0.0,7.32427,9.89419,8.0184,9.68037,334.25,1,1
28.0,4.0,11.27266,9.42597,6.680299999999999,9.1022,33.33333,3,3
3.0000000000000004,0.0,9.7433,9.89419,9.82876,10.27928,62.5,0,0
26.0,2.0,10.96267,13.6815,13.241339999999996,7.52318,133.33333,5,4
26.0,1.0,8.83963,8.22671,6.01233,9.1022,50.0,3,3
23.0,4.0,8.83963,7.18418,3.83998,9.1022,182.22222,3,3
23.0,0.0,9.7433,10.40627,11.82034,11.57611,84.88889,0,0
16.0,1.0,8.24023,8.99685,8.0184,9.68037,28.2963,0,0
21.0,4.0,9.7433,8.59932,9.27422,10.27928,59.259260000000005,0,0
30.0,0.0,10.65566,11.59162,8.67953,10.27928,58.04167,6,5
26.0,2.0,10.65566,9.42597,7.334360000000001,9.68037,333.33333,1,1
25.0,4.0,8.83963,12.35702,13.241339999999996,9.68037,118.75,0,0
25.0,3.0000000000000004,5.97557,8.59932,3.83998,9.68037,33.33333,3,3
24.000000000000004,3.0000000000000004,10.65566,12.35702,11.01744,9.68037,80.0,6,4
25.0,5.0,10.96267,7.52665,5.21324,9.1022,100.0,3,3
26.0,10.0,7.63433,8.59932,6.680299999999999,8.54995,80.0,3,3
27.0,1.0,10.04647,8.22671,3.83998,9.1022,33.33333,3,3
