ASRREA,ASBGSSB,ASBGSLR,ASBGSCR,ASBGHRL,ASBHSES,ASBHELN,ASBHELT,ASBHPLR,ACBG09,ACBG15,ACBGRRS,ACBGEAS,ACBGDAS,ACDGTIHY,ATBG01,ATBR01A,ATBR01B,ATBR02A,ATBR02B,ATBGEAS,ATBGSOS,ATBGTJS,ATBGSLI,ATDGLIHY,ATDGRIHY,ACBG17,ACBG21F,ATBR08H,ATBR10H,ATBR12DC,ATBR14,ATBR18E,cluster,cluster_pred
502.75942800000007,9.15299,11.30153,9.0457,10.89263,10.34719,10.1163,9.76177,9.8488,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,1,1
625.714296,7.87932,8.7748,9.0457,9.29058,8.92588,7.029620000000001,10.10135,8.88647,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,4,4
536.6453099999999,10.82106,14.87956,13.45388,8.94299,7.92896,7.93271,10.445390000000002,8.88647,300.0,17.0,9.24037,11.32571,12.9615,910.0,32.0,34.0,34.0,1.0,8.0,9.44107,13.6815,8.67953,10.27928,182.0,58.5,3,1,3,3,3,4,1,4,4
535.4755939999999,9.15299,9.86291,7.532170000000001,10.54337,10.72985,7.93271,7.545869999999999,8.67085,300.0,17.0,9.24037,11.32571,12.9615,910.0,7.0,34.0,34.0,7.0,8.0,5.5941,7.18418,9.82876,9.1022,156.0,78.0,3,1,4,4,3,4,2,5,5
654.4149520000001,10.82106,9.38515,9.0457,12.298249999999998,12.27791,10.1163,13.91988,12.157349999999996,300.0,17.0,9.24037,11.32571,12.9615,910.0,7.0,34.0,34.0,7.0,8.0,5.5941,7.18418,9.82876,9.1022,156.0,78.0,3,1,4,4,3,4,2,0,5
450.420664,9.15299,7.47815,7.84162,6.87523,4.82627,6.78757,10.445390000000002,8.45942,300.0,17.0,9.24037,11.32571,12.9615,910.0,7.0,34.0,34.0,7.0,8.0,5.5941,7.18418,9.82876,9.1022,156.0,78.0,3,1,4,4,3,4,2,2,2
504.19308200000006,10.82106,9.86291,7.84162,9.60729,8.92588,8.57506,11.18387,8.88647,300.0,17.0,9.24037,11.32571,12.9615,910.0,7.0,34.0,34.0,7.0,8.0,5.5941,7.18418,9.82876,9.1022,156.0,78.0,3,1,4,4,3,4,2,5,5
579.649086,12.852619999999998,8.43949,6.83123,9.29058,8.92588,8.36223,10.801940000000002,9.58447,300.0,17.0,9.24037,11.32571,12.9615,910.0,7.0,34.0,34.0,7.0,8.0,5.5941,7.18418,9.82876,9.1022,156.0,78.0,3,1,4,4,3,4,2,5,5
565.4318499999999,8.64972,6.88069,6.83123,10.54337,9.99175,8.36223,10.10135,8.2504,300.0,17.0,9.24037,11.32571,12.9615,910.0,7.0,34.0,34.0,7.0,8.0,5.5941,7.18418,9.82876,9.1022,156.0,78.0,3,1,4,4,3,4,2,5,5
491.786756,9.82079,10.83607,7.84162,10.89263,11.17158,9.88273,13.91988,8.2504,300.0,17.0,9.24037,11.32571,12.9615,910.0,7.0,34.0,34.0,7.0,8.0,5.5941,7.18418,9.82876,9.1022,156.0,78.0,3,1,4,4,3,4,2,5,5
563.087128,10.82106,12.86202,9.8041,8.94299,7.92896,8.14839,11.61328,8.2504,300.0,17.0,9.24037,11.32571,12.9615,910.0,7.0,34.0,34.0,7.0,8.0,5.5941,7.18418,9.82876,9.1022,156.0,78.0,3,1,4,4,3,4,2,5,5
641.28787,9.82079,14.87956,13.45388,9.915260000000002,8.47905,8.14839,7.97118,8.45942,300.0,17.0,9.24037,11.32571,12.9615,910.0,7.0,34.0,34.0,7.0,8.0,5.5941,7.18418,9.82876,9.1022,156.0,78.0,3,1,4,4,3,4,2,4,5
521.46169,6.93638,5.76631,6.83123,8.94299,8.92588,7.264050000000001,8.36153,8.04235,300.0,17.0,9.24037,11.32571,12.9615,910.0,7.0,34.0,34.0,7.0,8.0,5.5941,7.18418,9.82876,9.1022,156.0,78.0,3,1,4,4,3,4,2,5,5
576.91392,9.15299,11.30153,13.45388,9.29058,9.99175,8.78784,9.76177,8.67085,300.0,17.0,9.24037,11.32571,12.9615,910.0,7.0,34.0,34.0,7.0,8.0,5.5941,7.18418,9.82876,9.1022,156.0,78.0,3,1,4,4,3,4,2,5,5
592.0609460000001,9.15299,11.92201,9.8041,9.915260000000002,8.92588,8.57506,10.10135,7.19013,300.0,17.0,9.24037,11.32571,12.9615,910.0,7.0,34.0,34.0,7.0,8.0,5.5941,7.18418,9.82876,9.1022,156.0,78.0,3,1,4,4,3,4,2,5,5
