component,var_name,var_value,component_mean,component_std
dim_11,ATBR08G,1,-0.18066528650626998,0.2155091292563159
dim_11,ATBR08G,2,-0.042858667368996184,0.2519024198245061
dim_11,ATBR08G,3,0.14659183234441,0.20827007731360553
dim_11,ATBR08G,4,0.6467607414391894,0.16269545041129865
dim_11,ATBR09C,1,-0.16504637821127285,0.25378261873735847
dim_11,ATBR09C,2,0.021117343550180478,0.23427501121191044
dim_11,ATBR09C,3,0.15514820581761524,0.20385240231961027
dim_11,ATBR09C,4,0.8197392009222177,0.0089253616183039
dim_11,ATBR09E,1,-0.1630266581134581,0.21179422958994915
dim_11,ATBR09E,2,0.006229970772560858,0.23510826950760783
dim_11,ATBR09E,3,0.2040191909846724,0.2579447761439627
dim_11,ATBR12DC,1,-0.2758454188556188,0.2257114282045073
dim_11,ATBR12DC,2,-0.15582503184741064,0.21965461138609604
dim_11,ATBR12DC,3,0.1065217069417859,0.24437924264192423
dim_11,ATBR10H,1,-0.20433923077276056,0.19552845877822947
dim_11,ATBR10H,2,-0.02597329652443567,0.2254987394749068
dim_11,ATBR10H,3,0.1698731702364807,0.2805741685985915
dim_11,ATBR10H,4,0.3122260851891707,0.21281057782806212
dim_11,ATBR10I,1,-0.16298357217459386,0.20230733243470597
dim_11,ATBR10I,2,0.05555165737390152,0.2490295228605463
dim_11,ATBR10I,3,0.2147910624479439,0.2715128506069924
dim_11,ATBR10I,4,0.6514252469129518,0.01484593581677142
dim_11,ATBR10A,1,-0.09184750468605882,0.23299791422833122
dim_11,ATBR10A,2,0.1553370420532185,0.245124383605836
dim_11,ATBR10A,3,0.3496029493788875,0.2489164075345946
dim_11,ATBR11C,1,-0.19864196906258139,0.18995746077111916
dim_11,ATBR11C,2,-0.040232082039370475,0.24035619517515294
dim_11,ATBR11C,3,0.12264223952097256,0.2519469010259685
dim_11,ATBR11C,4,0.5458738828996889,0.25003813558201166
dim_11,ATBR10L,1,-0.2583381895763547,0.12174080653039122
dim_11,ATBR10L,2,-0.19762690267249763,0.21239198273624285
dim_11,ATBR10L,3,-0.08797942149845592,0.2114815763687255
dim_11,ATBR10L,4,0.11905582699168861,0.2666593847401926
dim_11,ATBR09A,1,-0.28548668915225844,0.20646191847989442
dim_11,ATBR09A,2,-0.1658521167945052,0.19462775521519465
dim_11,ATBR09A,3,0.031084504768293574,0.2506185272132719
dim_11,ATBR09A,4,0.4999758563350046,0.2577765471686322
dim_11,ATBR11A,1,-0.1684474934568474,0.2528284053502659
dim_11,ATBR11A,2,-0.07585145274408532,0.2279637281337488
dim_11,ATBR11A,3,0.08431666068684515,0.25724687462878215
dim_11,ATBR11A,4,0.3055576730540579,0.2324790591996035
dim_11,ATBR08E,1,-0.1123408017163082,0.24729851684969056
dim_11,ATBR08E,2,0.05464098338752286,0.2431135023450509
dim_11,ATBR08E,3,0.2902265214681069,0.24006160218906766
dim_11,ATBR08E,4,0.8197392009222177,0.0089253616183039
dim_11,ATBG07BF,1,-0.06795384930865499,0.23474109308491042
dim_11,ATBG07BF,2,0.21524602397897352,0.27026078745263404
dim_11,ATBR07AB,1,-0.47686913536134956,0.008981606925220483
dim_11,ATBR07AB,2,-0.06818935495281005,0.30375866069418256
dim_11,ATBR07AB,3,-0.10386400702127291,0.23752463386995976
dim_11,ATBR07AB,4,0.12464490168483576,0.24114735237036977
dim_11,ATBR10K,1,-0.2478447391806853,0.10979876192555937
dim_11,ATBR10K,2,-0.18927330243348023,0.21310816458583448
dim_11,ATBR10K,3,-0.03341875797290183,0.2435035202058749
dim_11,ATBR10K,4,0.11274731123036233,0.26343999142092445
dim_11,ATBR06D,1,-0.35922004418967407,0.2483906294761402
dim_11,ATBR06D,2,-0.15897159472670114,0.2117202726934809
dim_11,ATBR06D,3,0.033346562196081134,0.237040702400908
dim_11,ATBR06D,4,0.23103244809540666,0.36812844524465194
dim_11,ATBR09B,1,-0.02595794655753409,0.2529528518805715
dim_11,ATBR09B,2,-0.1993860086701376,0.20368694751699515
dim_11,ATBR09B,3,0.049663118471338794,0.25858718928520164
dim_11,ATBR09B,4,0.15493671231423292,0.2546251871114759
dim_11,ATBR12BA,1,-0.181117429386401,0.22379388526242663
dim_11,ATBR12BA,2,0.07213129867501987,0.25553875333670667
dim_11,ATBG07AG,1,-0.1138299860627914,0.2364689328987094
dim_11,ATBG07AG,2,0.11207009141123317,0.2579743475450689
dim_11,ATBR07BB,1,-0.35482795650825943,0.006951974330937766
dim_11,ATBR07BB,2,-0.29882766972263647,0.16209628926733372
dim_11,ATBR07BB,3,-0.06409436431134671,0.26812645990375217
dim_11,ATBR07BB,4,0.08232039555710745,0.24521069651045793
dim_11,ATBR07BD,1,-0.16355328296112565,0.1775125466279085
dim_11,ATBR07BD,2,-0.19518832886693657,0.20257921306653826
dim_11,ATBR07BD,3,-0.007412779131399631,0.2532338361754371
dim_11,ATBR07BD,4,0.1106290219484012,0.2673217299397667
dim_11,ATBR18E,1,-0.17830504122586782,0.24580021588537773
dim_11,ATBR18E,2,-0.015809482121059197,0.24861718832050958
dim_11,ATBR18E,3,0.18601910806731242,0.24883934223658594
dim_11,ATBR11D,1,-0.11061049167507889,0.008547280553639932
