component,var_name,corr_ratio
dim_18,ATBR15,0.16781416847482605
dim_18,ATBR07AA,0.16357264289122025
dim_18,ATBR08A,0.15981752196286697
dim_18,ATBR10I,0.15011953450255275
dim_18,ATBG03,0.14938529064649175
dim_18,ATBR09G,0.14011369315147168
dim_19,ATBG08D,0.30342318088119236
dim_19,ATBG08E,0.27227976461604025
dim_19,ATBG07BF,0.2660142427730737
dim_19,ATBG08C,0.21681969066398427
dim_19,ATBR17A,0.21033354494199444
dim_19,ATBR07BA,0.20878547164252026
dim_19,ATBG07BA,0.2082723073361563
dim_19,ATBR07AB,0.2014799481154594
dim_19,ACDGRRS,0.19992545145581134
dim_19,ACBG14G,0.19354399762146796
dim_19,ATBG07BB,0.17618772346693465
dim_19,ATBG07BE,0.1578122049846367
dim_19,ATBG07BC,0.15578688984205874
dim_19,ACBG14M,0.15447753598995972
dim_19,ATBR15,0.149291597337319
dim_19,ATBR07AA,0.14704635923122172
dim_19,ACBG14N,0.14528882929204714
dim_20,ATBR11C,0.3766896004309164
dim_20,ATBR10B,0.2560302051074897
dim_20,ATBR06C,0.24052714946496412
dim_20,ATBR11A,0.2094949701107746
dim_20,ATBR10G,0.19785907443268008
dim_20,ATBR10C,0.1969443580245211
dim_20,ATBR14,0.1827308061038131
dim_20,ATBR13A,0.18170314518098274
dim_20,ATBR16,0.179577221818205
dim_20,ATBR10K,0.17568886475359424
dim_20,ATBG03,0.17421351984664332
dim_20,ATBR09I,0.17334427954181622
dim_20,ATBR15,0.17071660488717277
dim_20,ATBR13B,0.15145087018229347
dim_20,ATBR09E,0.1436317144787413
dim_20,ACBG14J,0.14332085641844897
dim_21,ATBR13C,0.21492610134114565
dim_21,ATBR11E,0.21278807441461556
dim_21,ACDGEAS,0.1891249255435868
dim_21,ATBG07AC,0.17531743768450203
dim_21,ATBR19,0.16704767072203605
dim_21,ATBG06,0.15289420626367853
dim_21,ACBG14N,0.15147430778436083
dim_21,ATBR12EE,0.14951815522541378
dim_21,ATBR08F,0.1487384078016082
dim_21,ATBR09B,0.1484438242848747
dim_21,ACBG14L,0.14594220413442047
dim_21,ATBR11C,0.1436894696910381
dim_21,ATBG07BE,0.14263715662049803
dim_21,ATDGTJS,0.14200552368906263
dim_21,ATBR13E,0.1412270608902568
dim_22,ATBR10E,0.4312606845684493
dim_22,ACBG05B,0.24275387629631262
dim_22,ATBR06D,0.22155535771624488
dim_22,ATBR11E,0.19143196304135493
dim_22,ATBR10I,0.1868400960644587
dim_22,ACBG04,0.18301113551442158
dim_22,ATBR10G,0.18117421231675399
dim_22,ATBR11B,0.18025571490450337
dim_22,ATBR07AB,0.17088731598711596
dim_22,ATBR12EE,0.1671551318260346
dim_22,ATBR08D,0.15902153196205887
dim_22,ATBR13D,0.15842182457263002
dim_22,ATBG03,0.1572052427690735
dim_22,ACBG14G,0.15083705963012728
dim_22,ATBR15,0.14943063022136682
dim_23,ACBG14G,0.26228338788393
dim_23,ATBG05BD,0.22844343702901898
dim_23,ATBR09B,0.21100896556149773
dim_23,ATBR18C,0.1997081964375246
dim_23,ACBG14E,0.178498180382086
dim_23,ATBR10I,0.16169146966360914
dim_23,ATBG08D,0.15404464638595036
dim_23,ATBR10F,0.14410450336669375
dim_23,ATBR11B,0.14345976096582244
