ASDAGE,ASRREA,ASBGSEC,ASBGSSB,ASBGSB,ASBGERL,ASBGDRL,ASBGSLR,ASBGSCR,ASBGHRL,ASBHSES,ASBHELN,ASBHELT,ASBHPCS,ASBHPLR,ACBG09,ACBG15,ACBG16,ACBGRRS,ACBGEAS,ACBGDAS,ACDGTIHY,ATBG01,ATBR01A,ATBR01B,ATBR02A,ATBR02B,ATBGEAS,ATBGSOS,ATBGTJS,ATBGSLI,ATDGLIHY,ATDGRIHY,ASBH16,ACBG14F,ACBG14G,ACBG14K,ACBG14M,ACBG14N,ACBG20,ACBG21B,ACBG21C,ACBG21F,ATBG05BE,ATBG05BJ,ATBG07BC,ATBG07BF,ATBG08B,ATBG09A,ATBG09D,ATBR06C,ATBR07BC,ATBR08A,ATBR08G,ATBR09B,ATBR09D,ATBR09E,ATBR09G,ATBR09I,ATBR10E,ATBR10G,ATBR10H,ATBR10I,ATBR11D,ATBR12A,ATBR12BB,ATBR13B,ATBR13C,ATBR17A,ATBR17B,ATBR18D,cluster,cluster_pred
9.83,571.705682,12.60945,8.23773,12.567489999999998,7.63232,15.04369,9.17072,8.1368,9.91526,11.17158,10.1163,9.76177,4.99314,11.399,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,2,2,2,3,4,4,1,1,1,1,3,2,2,2,2,2,1,3,2,2,2,3,2,1,2,3,2,2,2,2,2,1,1,3,4,1,1,1,3,3
9.83,490.22223600000007,8.12699,8.64972,10.28695,8.05152,9.30655,8.7748,7.19857,10.63679,10.420280000000002,8.36223,9.76177,10.10603,8.67085,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,5,2,2,3,4,4,1,1,1,1,3,2,2,2,2,2,1,3,2,2,2,3,2,1,2,3,2,2,2,2,2,1,1,3,4,1,1,1,5,5
9.75,631.736624,10.12086,9.15299,10.965,8.05152,5.92238,8.40525,10.28978,12.29825,13.04932,5.980110000000001,10.801940000000002,7.35062,10.8815,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,5,2,2,3,4,4,1,1,1,1,3,2,2,2,2,2,1,3,2,2,2,3,2,1,2,3,2,2,2,2,2,1,1,3,4,1,1,1,3,3
9.67,578.2258899999999,10.97885,7.87932,12.567489999999998,11.54818,9.00419,11.30153,8.72693,12.29825,13.04932,10.87826,11.18387,7.91212,8.67085,152.0,9.0,5.0,8.99854,9.72437,12.9615,773.33333,30.0,25.0,25.0,3.0,5.000000000000001,8.24023,7.526649999999999,3.83998,9.1022,233.33333,166.66667,6,2,2,3,4,4,1,1,1,1,3,2,2,2,2,2,1,3,2,2,2,3,2,1,2,3,2,2,2,2,2,1,1,3,4,1,1,1,3,3
10.33,588.895576,10.97885,7.55475,10.965,11.54818,9.60657,14.87956,13.45388,9.91526,9.65449,7.029620000000001,11.61328,8.994789999999998,7.8339,239.0,9.0,1.0,8.26986,10.366780000000002,9.928259999999998,800.0,19.0,25.0,25.0,2.0,1.0,9.13986,10.40627,9.27422,10.27928,200.0,33.33333,5,2,3,3,5,5,1,1,1,1,2,1,2,2,2,1,1,1,3,3,3,3,3,4,4,3,4,4,4,4,4,1,1,4,4,2,3,3,2,2
10.33,546.93071,8.55821,9.15299,8.65929,9.1701,10.21804,10.83607,8.72693,8.54792,8.47905,9.43432,10.801940000000002,10.83953,6.465270000000001,239.0,9.0,1.0,8.26986,10.366780000000002,9.928259999999998,800.0,19.0,25.0,25.0,2.0,1.0,9.13986,10.40627,9.27422,10.27928,200.0,33.33333,6,2,3,3,5,5,1,1,1,1,2,1,2,2,2,1,1,1,3,3,3,3,3,4,4,3,4,4,4,4,4,1,1,4,4,2,3,3,2,2
10.33,532.52706,11.61875,8.64972,10.965,9.56347,8.31437,12.86202,11.76022,13.046469999999998,14.5106,7.49173,8.72843,10.83953,10.47786,239.0,9.0,1.0,8.26986,10.366780000000002,9.928259999999998,800.0,19.0,25.0,25.0,2.0,1.0,9.13986,10.40627,9.27422,10.27928,200.0,33.33333,5,2,3,3,5,5,1,1,1,1,2,1,2,2,2,1,1,1,3,3,3,3,3,4,4,3,4,4,4,4,4,1,1,4,4,2,3,3,2,2
10.42,660.540332,9.79644,9.15299,9.26414,10.0428,10.57259,8.7748,10.90567,10.89263,10.72985,15.91536,13.91988,12.13203,11.399,239.0,9.0,1.0,8.26986,10.366780000000002,9.928259999999998,800.0,19.0,25.0,25.0,2.0,1.0,9.13986,10.40627,9.27422,10.27928,200.0,33.33333,6,2,3,3,5,5,1,1,1,1,2,1,2,2,2,1,1,1,3,3,3,3,3,4,4,3,4,4,4,4,4,1,1,4,4,2,3,3,0,0
9.92,611.778222,8.77882,9.15299,12.567489999999998,9.1701,10.21804,11.92201,9.399640000000002,10.89263,11.29456,8.78784,9.76177,7.91212,8.88647,239.0,9.0,1.0,8.26986,10.366780000000002,9.928259999999998,800.0,19.0,25.0,25.0,2.0,1.0,9.13986,10.40627,9.27422,10.27928,200.0,33.33333,5,2,3,3,5,5,1,1,1,1,2,1,2,2,2,1,1,1,3,3,3,3,3,4,4,3,4,4,4,4,4,1,1,4,4,2,3,3,4,4
9.92,595.0214699999999,8.34208,7.24879,10.965,7.8348,10.57259,8.40525,10.90567,10.22238,10.34719,10.87826,8.36153,9.52493,13.71967,239.0,9.0,1.0,8.26986,10.366780000000002,9.928259999999998,800.0,19.0,25.0,25.0,2.0,1.0,9.13986,10.40627,9.27422,10.27928,200.0,33.33333,6,2,3,3,5,5,1,1,1,1,2,1,2,2,2,1,1,1,3,3,3,3,3,4,4,3,4,4,4,4,4,1,1,4,4,2,3,3,0,0
