component,var_name,var_value,component_mean,component_std
dim_11,ATBR15,4,0.12171817545058909,0.20420238499363863
dim_11,ATBR15,5,0.19834418485018093,0.17847683828950392
dim_11,ATDGTJS,1,0.11927441348170768,0.2591720271683138
dim_11,ATDGTJS,2,-0.04676878269610339,0.2509492071534874
dim_11,ATDGTJS,3,-0.22542192791463048,0.20650320830565572
dim_11,ATBR10B,1,0.13954138133508168,0.23163429746283304
dim_11,ATBR10B,2,-0.08856587701643542,0.2704655290886918
dim_11,ATBR10B,3,-0.30979854784779864,0.12015379964010751
dim_11,ATBR09C,1,0.1442148507556874,0.22771237607664419
dim_11,ATBR09C,2,-0.03280422843487969,0.28569302971129695
dim_11,ATBR09C,3,-0.18178584100495346,0.2274069919266776
dim_11,ATBR09C,4,-0.2809071402615957,0.04921511454220425
dim_11,ATBR07AD,1,0.28724066442768,0.23710295062318887
dim_11,ATBR07AD,2,-0.041284236392364726,0.26935732216287145
dim_11,ATBR07AD,3,-0.041235870713713124,0.24720841708249294
dim_11,ATBR07AD,4,-0.13126554908552934,0.23431221208842154
dim_11,ATBR06C,1,0.22662901080194364,0.21363777830630679
dim_11,ATBR06C,2,-0.025418081263200595,0.2726792941058738
dim_11,ATBR06C,3,-0.07285703297260557,0.26309333023714343
dim_11,ATBR06C,4,-0.214972963770741,0.14338991478674182
dim_11,ATBR10D,1,0.12858334955671846,0.22927957109388564
dim_11,ATBR10D,2,-0.03799434786229753,0.2826523271231065
dim_11,ATBR10D,3,-0.2817485411502704,0.14826187708357266
dim_11,ATBR10D,4,-0.3849685147409139,0.06773033418856254
dim_11,ATBR11A,1,0.16827494858634406,0.18661607876342715
dim_11,ATBR11A,2,0.07560267296179637,0.27365338835778313
dim_11,ATBR11A,3,-0.14844504942329065,0.2438973055086278
dim_11,ATBR11A,4,-0.28436707041013737,0.14386239660585237
dim_11,ACBG11G,1,0.5339761617081613,0.058338511269955796
dim_11,ACBG11G,2,0.015765006485869464,0.287714944044709
dim_11,ACBG11G,3,-0.057837044606961964,0.23610455477843548
dim_11,ACBG11G,4,-0.08161513847207674,0.18099131967305251
dim_11,ATBR10E,1,0.20350101716620442,0.19130037205766742
dim_11,ATBR10E,2,-0.008670665770555237,0.30045826290101807
dim_11,ATBR10E,3,-0.13262184423666376,0.21842315340768217
dim_11,ATBR10E,4,-0.19839456124966554,0.1507352174429061
dim_11,ACBG14N,1,0.04005738306030596,0.1399969904871456
dim_11,ACBG14N,2,0.12422883523061001,0.29508479098238616
dim_11,ACBG14N,3,-0.05635055822950295,0.17326262087790872
dim_11,ACBG14N,4,0.11155425571244144,0.28459815662154725
dim_11,ACBG14N,5,-0.17414017055171852,0.2327268978701105
dim_11,ATBR07BC,1,0.1700363522950092,0.18993427999570545
dim_11,ATBR07BC,2,0.14105963530938032,0.2874507305479375
dim_11,ATBR07BC,3,-0.027623536801637594,0.2413157291731992
dim_11,ATBR07BC,4,-0.18627600014831416,0.23075831688452814
dim_11,ACBG11F,1,0.3074416368601873,0.25926862132537004
dim_11,ACBG11F,2,-0.05141960687730821,0.2935826714141544
dim_11,ACBG11F,3,-0.05078381191880727,0.22030621638632725
dim_11,ACBG11F,4,-0.17605587459669908,0.13569856438231032
dim_11,ATBG12B,1,0.10331715963963142,0.2563285595064323
dim_11,ATBG12B,2,-0.07988283591991696,0.25847517344790205
dim_11,ATBG12B,3,-0.23187995756266336,0.21491124922156155
dim_11,ATBG12F,1,0.17563143602046516,0.2548294507486437
dim_11,ATBG12F,2,-0.008393193286784489,0.2648469383577029
dim_11,ATBG12F,3,-0.1291996247823668,0.24247140949277626
dim_11,ATBG12F,4,-0.1302441491679756,0.06405341538706544
dim_11,ATBR12EB,1,0.26000580855834793,0.17759719439757934
dim_11,ATBR12EB,2,0.306954921443941,0.2643628442608853
dim_11,ATBR12EB,3,0.016937787530822233,0.30448643977532996
dim_11,ATBR12EB,4,-0.07165777603946218,0.22697174973555323
dim_11,ATBG10L,1,0.13859038855815634,0.3102746454701732
dim_11,ATBG10L,2,0.05446178630821384,0.2599855357913792
dim_11,ATBG10L,3,-0.2145228630229722,0.19344992545464804
dim_11,ATBG10L,4,-0.11910233473192794,0.10314318370911298
dim_11,ATBG10L,5,-0.04283146732365133,0.04027675513368719
dim_11,ACBG14B,1,0.04287886018672517,0.26454483728281675
dim_11,ACBG14B,2,-0.35868665137593103,0.10636051493316218
dim_11,ACBG11C,1,0.18376835861374638,0.32666566764226274
dim_11,ACBG11C,2,-0.08427072413316058,0.18322003616133697
dim_11,ACBG11C,3,-0.08205883406827359,0.24631685243899357
dim_11,ATBR07BA,1,0.1366989450106221,0.25348084184804087
dim_11,ATBR07BA,2,0.07865984602642798,0.3211890769312352
dim_11,ATBR07BA,3,-0.1562231727274522,0.17285720839331034
dim_11,ATBR07BA,4,-0.07590929024507237,0.2141177444572568
dim_11,ATBR07AA,1,0.14182969886631386,0.30599631285408607
dim_11,ATBR07AA,2,-0.09555897272595432,0.21053979702882153
dim_11,ATBR07AA,3,-0.10886284634254285,0.2042197316689621
dim_11,ATBR07AA,4,-0.3125476853423297,0.04302837049959204
dim_11,ATDGSLI,1,0.15443095320556277,0.27192464012247514
